,School1,School2,Year,Distance,popDiff,perfDiff
105,Cassiobury Junior School,Bedmond Academy,2020,5901.797438069186,0.6333333333333333,11.620577689988057
106,Chambersbury Primary School,Bedmond Academy,2020,3090.0821995539213,0.2,6.825101981781522
107,Cherry Tree Primary School,Bedmond Academy,2020,4282.9799205693225,0.5833333333333333,8.788934512219639
108,Coates Way JMI and Nursery School,Bedmond Academy,2020,3640.066482909344,0.9666666666666666,10.229107649941568
109,Divine Saviour Roman Catholic Primary School,Bedmond Academy,2020,2375.3947040439407,0.4333333333333333,9.44502308029556
110,Grove Academy,Bedmond Academy,2020,4510.216181071591,0.4333333333333333,6.360007494318918
111,Hobbs Hill Wood Primary School,Bedmond Academy,2020,3448.5533198719722,1.0166666666666666,8.998466092525971
112,Hobletts Manor Junior School,Bedmond Academy,2020,5010.6335926706915,0.8499999999999999,9.596160951072164
113,Holy Rood Catholic Primary School,Bedmond Academy,2020,4339.049204606927,0.8833333333333333,12.498716777532223
114,Kings Langley Primary School,Bedmond Academy,2020,2998.019679721933,0.75,9.366864015561326
115,Kingsway Junior School,Bedmond Academy,2020,3458.8062969758803,0.6333333333333333,10.575713252322432
116,Knutsford School,Bedmond Academy,2020,5692.157411737662,1.0666666666666667,11.599213064529701
117,Leavesden JMI School,Bedmond Academy,2020,3087.372507489176,0.48333333333333334,7.838229588248298
118,Leverstock Green Church of England Primary School,Bedmond Academy,2020,3550.166474969871,1.1333333333333333,8.738817315997476
119,Lime Walk Primary School,Bedmond Academy,2020,4096.2744048708455,0.26666666666666666,6.351854810379674
120,Nascot Wood Junior School,Bedmond Academy,2020,5490.50616974428,1.5999999999999999,15.833316602060329
121,Nash Mills Church of England Primary School,Bedmond Academy,2020,3128.789222686629,1.2666666666666666,10.908196459159091
122,Orchard Primary School,Bedmond Academy,2020,4369.144538694045,0.6666666666666667,11.093572068090895
123,Parkgate Junior School,Bedmond Academy,2020,5158.852973287764,0.6666666666666667,8.230781446968525
124,Reddings Primary School,Bedmond Academy,2020,3814.3979865766496,0.39999999999999997,8.904941637865235
125,St Albert the Great Catholic Primary School,Bedmond Academy,2020,3878.8877271712827,0.8333333333333333,8.94051250374307
126,St Catherine of Siena Catholic Primary School,Bedmond Academy,2020,3218.194680251647,0.39999999999999997,11.289006875306574
127,"St Paul's Church of England Primary School, Langleybury",Bedmond Academy,2020,3560.4366305272165,0.8666666666666667,9.982370300084632
128,Chipperfield St Pauls,Bedmond Academy,2020,5768.721955511463,0.7,9.676213265946808
129,Tanners Wood Junior Mixed and Infant School,Bedmond Academy,2020,2347.712077747184,0.7166666666666666,9.673675422638164
130,Tudor Primary School,Bedmond Academy,2020,4629.97246212113,1.1166666666666667,9.669671180571079
131,Two Waters Primary School,Bedmond Academy,2020,4398.0979979986805,1.4333333333333333,12.201485083638334
132,George Street Primary School,Bedmond Academy,2020,5839.711122992301,0.8666666666666667,6.932170570679066
133,South Hill Primary School,Bedmond Academy,2020,5633.281903118288,0.8,9.750862377833952
134,Yewtree Primary School,Bedmond Academy,2020,5952.487967228493,0.26666666666666666,3.8519181261032385
135,"Abbey Church of England Voluntary Aided Primary School, St Albans",Bernards Heath Junior School,2020,2154.5554065746373,-0.15555555555555545,-0.3880581091131655
136,Aboyne Lodge Junior Mixed and Infant School,Bernards Heath Junior School,2020,1302.3597813200467,-0.28888888888888886,-2.2395488110183743
137,Alban City School,Bernards Heath Junior School,2020,1215.0082304247983,-0.4388888888888889,-2.9023645813754557
139,Bowmansgreen Primary School,Bernards Heath Junior School,2020,5063.376837645012,-0.5222222222222223,-2.865491408416138
140,Camp Primary and Nursery School,Bernards Heath Junior School,2020,2259.1026979754593,0.2777777777777777,-2.49178593375235
141,Colney Heath Junior Mixed Infant and Nursery School,Bernards Heath Junior School,2020,5251.355063219397,-0.4555555555555556,-0.6059346368523909
142,Cunningham Hill Junior School,Bernards Heath Junior School,2020,2431.996916116466,0.04444444444444451,1.4427935746282095
143,Fleetville Junior School,Bernards Heath Junior School,2020,1635.5482261309203,-0.2222222222222222,-1.9478537824848352
144,Garden Fields Junior Mixed and Infant School,Bernards Heath Junior School,2020,704.2563453743246,-0.47777777777777775,-0.12299013994700037
145,How Wood Primary and Nursery School,Bernards Heath Junior School,2020,5063.4708451811985,-0.25555555555555554,-4.4648672928438184
146,Killigrew Primary and Nursery School,Bernards Heath Junior School,2020,4091.2576306069996,-0.27222222222222225,0.8404219177288428
147,London Colney Primary & Nursery School,Bernards Heath Junior School,2020,4799.544145020442,-0.5888888888888889,-2.9085980430109935
148,Mandeville Primary School,Bernards Heath Junior School,2020,3142.77902500319,-0.13888888888888884,-2.8092553211563596
149,Maple Primary School,Bernards Heath Junior School,2020,1001.4973789281727,0.6111111111111112,1.6983344675532548
150,Margaret Wix Primary School,Bernards Heath Junior School,2020,1200.4253412853295,-0.8222222222222222,-1.985663678298664
151,Oakwood Primary School,Bernards Heath Junior School,2020,2033.0297587590792,-0.12222222222222223,-1.0378402632867956
152,Park Street Church of England Voluntary Aided Primary School,Bernards Heath Junior School,2020,5052.310857419603,-0.6222222222222222,0.19120261929253646
153,Prae Wood Primary School,Bernards Heath Junior School,2020,3042.6871347544097,-0.2222222222222222,-0.7049971575664769
154,St Bernadette Catholic Primary School,Bernards Heath Junior School,2020,5306.148132119947,0.04444444444444451,-2.9070596688054064
155,Samuel Ryder Academy,Bernards Heath Junior School,2020,3053.717734172561,-0.07222222222222219,-3.3873764341677757
156,Sandridge School,Bernards Heath Junior School,2020,2759.4376238646887,-0.7222222222222222,-2.265033896348444
157,Skyswood Primary & Nursery School,Bernards Heath Junior School,2020,1763.7156800346252,0.47777777777777786,2.442378446709724
158,St Adrian Roman Catholic Primary School,Bernards Heath Junior School,2020,3117.2264916107715,-0.12222222222222223,1.6667364775140272
159,St John Fisher Roman Catholic Primary School,Bernards Heath Junior School,2020,1563.48968656656,-0.9555555555555555,-1.1872130276347501
160,"St Michael's Church of England Voluntary Aided Primary School, St Albans",Bernards Heath Junior School,2020,2313.9734224921426,-0.022222222222222143,1.5903446254528255
161,St Peter's School,Bernards Heath Junior School,2020,2022.407476252004,0.5777777777777777,1.1070306292392798
162,Wheatfields Junior Mixed School,Bernards Heath Junior School,2020,1272.7784567629985,-0.28888888888888886,-0.2817119360797038
163,Windermere Primary School,Bernards Heath Junior School,2020,2617.1576184861315,-0.3222222222222222,-5.4650799498450695
164,Grove Junior School,Bernards Heath Junior School,2020,4943.012239515496,-0.33333333333333337,0.5082326189191537
165,Beech Hyde Primary School and Nursery,Bernards Heath Junior School,2020,5493.421520327745,-0.5222222222222223,-1.701857781014549
166,Howe Dell Primary School,Bernards Heath Junior School,2020,5575.759858530494,0.011111111111111072,-1.7734546838245668
167,St Helen's Church of England Primary School,Bernards Heath Junior School,2020,5441.415257081562,-0.0888888888888888,-2.0910524681931917
168,Crabtree Junior School,Bernards Heath Junior School,2020,5808.546892295869,0.21111111111111103,1.814755429938514
169,High Beeches Primary School,Bernards Heath Junior School,2020,5498.605732365251,-0.03888888888888897,3.302580806710006
170,St Dominic Catholic Primary School,Bernards Heath Junior School,2020,5480.962141814154,-0.15555555555555545,2.777777935531022
