,Full Name,PAN,APP,ALLO,NOT_DIST,NEAR,DIST,TOTAL,MAX_DIST_NS,MAX_DIST_DIST,P1,P2,P3,P4,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Latitude,Longitude,Easting,Northing,within_500m,within_1km,within_2km,within_3km,within_5km,Grade,P1/plc,PAN_bin
132,_Hertford Heath Primary and Nursery School,30,62,29,7.0,12.0,9.0,29.0,920.83,57728.24,23.0,14.0,7.0,18.0,2019,117125,0.64,0.12,3.6,-0.1,0.6,107,106,104,51.785481,-0.044043,535013,211456,0,0,1,9,26,2.0,0.7666666666666667,30
133,Hertingfordbury Cowper C of E VA Primary School **,30,67,30,0.0,0.0,0.0,30.0,0.0,0.0,25.0,17.0,17.0,8.0,2019,117563,0.79,0.21,0.4,1,0.7,107,109,107,51.78689,-0.126135,529347,211464,0,0,0,3,18,2.0,0.8333333333333334,30
134,Hexton JMI School,10,12,5,3.0,0.0,2.0,5.0,0.0,13064.63,6.0,5.0,1.0,0.0,2019,117112,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,51.960789,-0.393297,510494,230364,0,0,0,0,2,2.0,0.6,<30
135,Highover JMI & Nursery School,60,132,60,21.0,25.0,14.0,60.0,828.83,2633.32,52.0,25.0,34.0,21.0,2019,117115,0.76,0.24,1.4,2.7,-1.3,109,110,106,51.958218,-0.254397,520044,230298,0,1,8,15,22,2.0,0.8666666666666667,60
136,Mary Exton Primary School,30,105,25,12.0,6.0,4.0,25.0,563.97,6948.51,19.0,25.0,34.0,27.0,2019,117329,0.54,0,1,-3.7,-0.3,105,106,104,51.946326,-0.251155,520299,228981,0,2,7,14,20,2.0,0.6333333333333333,30
137,Oughton Primary and Nursery School,30,47,24,13.0,11.0,0.0,24.0,527.31,0.0,23.0,9.0,12.0,3.0,2019,133323,0.63,0.08,-1.7,-1.3,-1,103,105,103,51.956142,-0.291269,517516,230007,0,2,4,9,17,2.0,0.7666666666666667,30
138,Our Lady Catholic Primary (Hitchin) **,30,62,23,0.0,0.0,0.0,23.0,0.0,0.0,22.0,15.0,9.0,16.0,2019,138322,0.56,0.12,0.2,-6.4,0.5,109,110,108,51.964147,-0.277864,518416,230919,0,1,6,11,19,3.0,0.7333333333333333,30
139,Purwell Primary School,30,83,30,14.0,1.0,0.0,288.4,653.91,0.0,15.0,14.0,13.0,13.0,2019,117224,0.5,0.07,-2.2,-3.3,-3.6,105,106,103,51.953951,-0.246792,520578,229836,0,2,7,14,21,2.0,0.5,30
140,Samuel Lucas JMI School,60,221,60,57.0,3.0,0.0,758.54,533.1,0.0,74.0,53.0,46.0,31.0,2019,117337,0.9,0.23,-0.8,-0.1,-0.7,109,110,108,51.950614,-0.287041,517821,229399,0,2,6,11,18,1.0,1.2333333333333334,60
141,St Andrew's C of E VA Primary School & Nursery (Hitchin) **,30,152,30,0.0,0.0,0.0,0.0,0.0,0.0,40.0,52.0,39.0,25.0,2019,117467,0.8,0.2,2.7,2.7,1.4,108,106,106,51.950545,-0.264668,519359,229428,0,2,9,13,18,1.0,1.3333333333333333,30
142,William Ransom Primary School (The),60,250,60,41.0,19.0,0.0,872.82,1341.6,0.0,50.0,68.0,49.0,36.0,2019,117314,0.76,0.16,1.9,-0.3,-0.5,109,110,106,51.947714,-0.258667,519779,229123,0,3,8,13,19,1.0,0.8333333333333334,60
143,Cranbourne Primary (Hoddesdon) (The) *,60,215,60,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,40.0,20.0,2019,143410,0.66,0.07,-0.6,-0.7,-1.5,105,104,103,51.776495,-0.006423,537635,210527,1,2,6,10,20,2.0,1.0333333333333334,60
144,Forres Primary School,60,119,52,26.0,13.0,0.0,1051.97,5313.05,0.0,32.0,22.0,34.0,24.0,2019,117284,0.4,0,-4.6,-4.9,-4.7,100,102,99,51.772696,-0.005634,537701,210106,1,2,5,9,16,2.0,0.5333333333333333,60
145,Roselands Primary School *,45,196,45,0.0,0.0,0.0,0.0,0.0,0.0,45.0,41.0,39.0,33.0,2019,143409,0.51,0.02,1.1,-3.1,-1.6,106,105,103,51.773723,-0.019533,536739,210194,0,3,5,10,22,2.0,1.0,31-59
146,Sheredes Primary School & Nursery,60,284,60,59.0,1.0,0.0,1094.98,708.54,0.0,94.0,61.0,69.0,30.0,2019,117353,0.95,0.25,1.4,1.7,2.5,110,112,110,51.752431,-0.021797,536647,207822,0,1,6,9,18,1.0,1.5666666666666667,60
147,St Augustine's Catholic Primary School **,30,82,30,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,24.0,13.0,2019,117438,0.64,0.18,-2.7,-0.4,-1.3,104,106,104,51.7572,-0.009229,537500,208376,1,2,7,9,14,2.0,1.0,30
148,St Catherine's Hoddesdon VC CE Primary School,45,89,48,22.0,13.0,1.0,645.62,8438.25,0.0,28.0,21.0,15.0,27.0,2019,133773,0.67,0.19,0.1,1.3,1.8,105,108,106,51.762445,-0.009361,537475,208959,0,3,7,9,13,2.0,0.6222222222222222,31-59
149,St Cross Catholic Primary School **,30,90,30,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,16.0,17.0,2019,117483,0.8,0.03,-0.9,-0.4,-0.3,106,107,106,51.753923,-0.013256,537232,208004,1,3,6,9,14,3.0,0.6,30
150,Westfield Community Primary School,30,62,30,11.0,5.0,0.0,746.25,7454.36,0.0,12.0,6.0,13.0,14.0,2019,117270,0.58,0,0,2.6,1.9,101,103,103,51.765087,-0.018302,536850,209236,0,2,7,9,17,2.0,0.4,30
151,Hunsdon JMI School,15,34,15,12.0,3.0,0.0,15.0,429.44,0.0,19.0,10.0,2.0,3.0,2019,117117,0.87,0.07,3.4,-1,1.3,110,110,107,51.808469,0.055738,541823,214202,0,0,1,2,6,2.0,1.2666666666666666,<30
152,Ickleford Primary School,30,97,30,10.0,8.0,12.0,30.0,2164.67,2160.31,32.0,31.0,19.0,15.0,2019,117401,0.93,0.2,1.9,0.3,0.9,109,110,107,51.972498,-0.277678,518407,231848,0,1,1,9,19,2.0,1.0666666666666667,30
153,Kimpton Primary School,30,35,27,14.0,6.0,1.0,27.0,2379.29,2996.89,19.0,7.0,6.0,3.0,2019,117118,0.4,0.15,-1.7,0.3,-2.7,103,102,101,51.850866,-0.296281,517446,218291,0,0,0,1,9,3.0,0.6333333333333333,30
154,Chipperfield St Paul's VA C of E Primary School **,30,71,25,0.0,0.0,0.0,25.0,0.0,0.0,22.0,28.0,16.0,5.0,2019,117441,0.74,0.13,-1.2,-2.7,-4.2,108,107,104,51.703371,-0.492527,504268,201590,0,0,0,2,9,1.0,0.7333333333333333,30
155,Kings Langley Primary School,60,130,56,18.0,26.0,12.0,56.0,1425.03,6755.68,52.0,26.0,34.0,18.0,2019,117283,0.6,0.1,0.1,0.2,-1.6,104,104,102,51.717375,-0.456514,506724,203199,0,0,1,8,28,2.0,0.8666666666666667,60
156,Knebworth Primary School,60,104,60,22.0,24.0,14.0,60.0,1290.52,6432.11,55.0,15.0,22.0,12.0,2019,117120,0.72,0.15,2.5,2.6,2.6,107,107,106,51.864255,-0.180349,525393,219973,0,0,2,7,19,2.0,0.9166666666666666,60
157,St Paul's C of E VA Primary & Nursery School (Hunton Bridge) **,30,79,29,0.0,0.0,0.0,29.0,0.0,0.0,23.0,12.0,27.0,17.0,2019,117417,0.87,0.33,2.4,2.4,2.8,109,110,109,51.691861,-0.438812,508008,200388,0,0,3,10,28,2.0,0.7666666666666667,30
158,Garden City Academy *,30,44,27,0.0,0.0,0.0,27.0,0.0,0.0,23.0,6.0,11.0,4.0,2019,138389,0.77,0.05,4.8,-0.2,5.2,108,104,108,51.973492,-0.208135,523181,232074,0,1,3,10,20,2.0,0.7666666666666667,30
159,Lordship Farm Primary School,60,168,61,25.0,12.0,24.0,61.0,1223.37,1433.57,65.0,54.0,33.0,16.0,2019,117330,0.64,0.14,1.7,-0.1,-0.8,107,106,104,51.963543,-0.223336,522164,230942,0,0,4,9,25,2.0,1.0833333333333333,60
160,Norton St Nicholas C of E (VA) Primary School **,30,99,30,0.0,0.0,0.0,30.0,0.0,0.0,33.0,28.0,20.0,18.0,2019,117442,0.67,0.07,-0.9,-1.4,0.4,105,107,105,51.99298,-0.210078,522994,234238,0,1,4,8,11,2.0,1.1,30
161,St Thomas More Catholic Primary (Letchworth) **,30,90,30,0.0,0.0,0.0,30.0,0.0,0.0,40.0,29.0,10.0,11.0,2019,138354,0.6,0.17,0.8,0.5,-0.5,107,106,105,51.969944,-0.241757,520881,231623,0,0,5,12,24,1.0,1.3333333333333333,30
162,Stonehill School,30,58,30,19.0,8.0,0.0,680.71,3383.44,0.0,25.0,26.0,13.0,10.0,2019,117345,0.81,0.15,-0.4,0.1,0.5,105,105,106,51.993814,-0.233134,521409,234292,0,1,3,6,14,2.0,0.8333333333333334,30
163,_Little Hadham Primary School,20,30,6,4.0,1.0,1.0,6.0,898.6,9893.15,5.0,8.0,11.0,6.0,2019,117126,0.65,0.05,0.2,-3,-1.1,106,106,104,51.883518,0.095185,544302,222625,0,0,0,1,8,2.0,0.25,<30
164,Little Heath Primary School *,30,164,30,0.0,0.0,0.0,30.0,0.0,0.0,36.0,46.0,46.0,36.0,2019,117567,0.67,0.15,0,0.8,-2.1,105,106,103,51.705948,-0.175,526202,202377,0,0,4,7,11,2.0,1.2,30
165,Wymondley JMI School,15,47,15,7.0,8.0,0.0,15.0,956.78,0.0,18.0,14.0,9.0,6.0,2019,117177,0.63,0.13,-3.2,-1.9,-2.8,103,103,103,51.934284,-0.238372,521210,227663,0,0,3,8,29,2.0,1.2,<30
166,Bowmansgreen Primary School,60,90,49,17.0,19.0,11.0,49.0,1320.09,2980.5,39.0,33.0,13.0,5.0,2019,117187,0.68,0.03,-0.6,-3.9,0,104,103,104,51.721874,-0.300999,517455,203938,1,2,2,8,25,2.0,0.65,60
