Full Name,Year,URN,PTRWM_EXP,PTRWM_HIGH,READPROG,WRITPROG,MATPROG,READ_AVERAGE,GPS_AVERAGE,MAT_AVERAGE,Grade,%exp_norm,%high_norm,norm_%,READ_norm,WRIT_norm,MAT_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,appl/plc,weightedPref,log_WP,%exp_norm,%high_norm,READPROG_norm,WRITPROG_norm,MATPROG_norm,READ_norm,WRIT_norm,MAT_norm,pred_WP,resid_WP,pred_log_WP,resid_log_WP,pca_1,pca,pca_2,Latitude,Longitude,Easting,Northing
St Thomas More Catholic Primary (Berkhamsted) **,2018,117479,0.63,0.1,1.5,-0.2,-0.6,107,108,104,1,-0.294754793,-0.320306607,-0.343609721,0.443602416,0.421586623,-0.401842808,0.539236787,-0.031400349,-0.17075657,1.666666667,1.866666667,0.624154309,-0.294754793,-0.320306607,0.539236787,-0.031400349,-0.17075657,0.443602416,0.421586623,-0.401842808,2.665857604,-0.799190937,0.900781121,-0.276626812,-0.068182213,0.068182213,-0.122222089,51.759852,-0.58065,498057,207749
St Thomas More Catholic Primary (Berkhamsted) **,2020,117479,0.78,0,0.2,-4.2,-0.3,107,110,107,1,0.69417183,-1.437548861,-0.415294431,0.443602416,1.102959875,0.670835944,-0.042950091,-1.846674989,-0.042787379,1.566666667,1.566666667,0.44895022,0.69417183,-1.437548861,-0.042950091,-1.846674989,-0.042787379,0.443602416,1.102959875,0.670835944,2.686869462,-1.120202795,0.909123274,-0.460173053,-0.184934084,0.184934084,-2.094078649,51.759852,-0.58065,498057,207749
Westfield Primary School,2019,117254,0.63,0.15,1.9,-2.4,0.1,108,109,105,1,-0.294754793,0.23831452,-0.031530879,0.785400177,0.762273249,-0.044283224,0.718371212,-1.029801401,0.12783821,4.2,3.666666667,1.299282984,-0.294754793,0.23831452,0.718371212,-1.029801401,0.12783821,0.785400177,0.762273249,-0.044283224,2.759300541,0.907366125,0.937879946,0.361403039,-0.587395592,0.587395592,-1.055017277,51.765866,-0.584229,497797,208413
Westfield Primary School,2018,117254,0.67,0.13,0.6,-0.2,-1.6,107,108,105,1,-0.031041027,0.014866069,-0.009036289,0.443602416,0.421586623,-0.044283224,0.136184333,-0.031400349,-0.597320542,4.466666667,4.5,1.504077397,-0.031041027,0.014866069,0.136184333,-0.031400349,-0.597320542,0.443602416,0.421586623,-0.044283224,2.678285359,1.821714641,0.905715203,0.598362194,-0.13723673,0.13723673,-0.448622769,51.765866,-0.584229,497797,208413
Westfield Primary School,2020,117254,0.7,0.1,-2.2,-4.6,-1.2,105,108,107,1,0.166744298,-0.320306607,-0.085789,-0.239993105,0.421586623,0.670835944,-1.117756636,-2.028202453,-0.426694953,4.933333333,3.7,1.30833282,0.166744298,-0.320306607,-1.117756636,-2.028202453,-0.426694953,-0.239993105,0.421586623,0.670835944,2.525535752,1.174464248,0.845070375,0.463262445,0.711512698,-0.711512698,-2.103714251,51.765866,-0.584229,497797,208413
All Saints C of E Primary and Nursery (Bishop's Stortford) **,2019,117472,0.77,0.1,1.7,-1.2,0.7,108,107,106,2,0.628243388,-0.320306607,0.172031721,0.785400177,0.080899997,0.31327636,0.628804,-0.485219009,0.383776593,2.933333333,2.8,1.029619417,0.628243388,-0.320306607,0.628804,-0.485219009,0.383776593,0.785400177,0.080899997,0.31327636,2.801806072,-0.001806072,0.954755541,0.074863876,-0.823576525,0.823576525,-0.566949348,51.875326,0.176888,549952,221879
All Saints C of E Primary and Nursery (Bishop's Stortford) **,2018,117472,0.67,0.1,0.9,0.5,-0.4,105,104,103,2,-0.031041027,-0.320306607,-0.196283594,-0.239993105,-0.94115988,-0.759402392,0.270535151,0.286272712,-0.085443776,2.433333333,2.3,0.832909123,-0.031041027,-0.320306607,0.270535151,0.286272712,-0.085443776,-0.239993105,-0.94115988,-0.759402392,2.520163095,-0.220163095,0.842937316,-0.010028193,0.741365739,-0.741365739,0.724432653,51.875326,0.176888,549952,221879
All Saints C of E Primary and Nursery (Bishop's Stortford) **,2020,117472,0.83,0.2,1.6,-1.7,1.2,109,111,109,2,1.023814037,0.796935647,1.017178594,1.127197938,1.4436465,1.385955112,0.584020393,-0.712128339,0.597058579,3.433333333,3.166666667,1.15267951,1.023814037,0.796935647,0.584020393,-0.712128339,0.597058579,1.127197938,1.4436465,1.385955112,3.091129391,0.075537276,1.069623025,0.083056485,-2.431194419,2.431194419,-1.42496465,51.875326,0.176888,549952,221879
Hillmead Primary School,2019,117310,0.6,0.03,-2.2,1.3,-2.4,103,103,102,2,-0.492540117,-1.102376185,-0.891014694,-0.923588627,-1.281846506,-1.116961976,-1.117756636,0.64932764,-0.938571719,3.9,3,1.098612289,-0.492540117,-1.102376185,-1.117756636,0.64932764,-0.938571719,-0.923588627,-1.281846506,-1.116961976,2.221780507,0.778219493,0.724473111,0.374139177,2.399321234,-2.399321234,0.932955816,51.870922,0.136523,547188,221307
Hillmead Primary School,2018,117310,0.71,0,-0.4,-0.1,-1.3,105,108,104,2,0.232672739,-1.437548861,-0.673115152,-0.239993105,0.421586623,-0.401842808,-0.311651727,0.013981517,-0.469351351,3.5,3.4,1.223775432,0.232672739,-1.437548861,-0.311651727,0.013981517,-0.469351351,-0.239993105,0.421586623,-0.401842808,2.519637633,0.880362367,0.842728697,0.381046735,0.744285453,-0.744285453,-0.154085452,51.870922,0.136523,547188,221307
Hillmead Primary School,2020,117310,0.8,0.17,2.3,1.1,2,108,108,108,2,0.826028713,0.46176297,0.719436695,0.785400177,0.421586623,1.028395528,0.897505636,0.558563908,0.938309756,4.333333333,3.233333333,1.173513597,0.826028713,0.46176297,0.897505636,0.558563908,0.938309756,0.785400177,0.421586623,1.028395528,3.032264378,0.201068955,1.046252368,0.127261229,-2.104112425,2.104112425,0.221486526,51.870922,0.136523,547188,221307
Richard Whittington Primary School (The),2019,117346,0.66,0.05,0.1,-2.4,-0.9,105,107,104,2,-0.096969468,-0.878927734,-0.545193968,-0.239993105,0.080899997,-0.401842808,-0.087733697,-1.029801401,-0.298725762,1.8,1.444444444,0.36772478,-0.096969468,-0.878927734,-0.087733697,-1.029801401,-0.298725762,-0.239993105,0.080899997,-0.401842808,2.487352871,-1.042908426,0.829910963,-0.462186182,0.923674938,-0.923674938,-0.751061482,51.856471,0.155255,548525,219738
Richard Whittington Primary School (The),2018,117346,0.63,0.07,-0.7,-3,1,104,106,106,2,-0.294754793,-0.655479283,-0.530857026,-0.581790866,-0.259786629,0.31327636,-0.446002545,-1.302092597,0.511745784,2.555555556,2.266666667,0.818310324,-0.294754793,-0.655479283,-0.446002545,-1.302092597,0.511745784,-0.581790866,-0.259786629,0.31327636,2.508363627,-0.24169696,0.838252678,-0.019942354,0.80692919,-0.80692919,-0.668762542,51.856471,0.155255,548525,219738
Richard Whittington Primary School (The),2020,117346,0.51,0.09,-2.1,0.1,-3.2,103,106,103,2,-1.085896091,-0.432030833,-0.848003868,-0.923588627,-0.259786629,-0.759402392,-1.07297303,0.104745249,-1.279822897,2.222222222,1.577777778,0.456017387,-1.085896091,-0.432030833,-1.07297303,0.104745249,-1.279822897,-0.923588627,-0.259786629,-0.759402392,2.275553185,-0.697775407,0.745822003,-0.289804616,2.100534674,-2.100534674,0.141194432,51.856471,0.155255,548525,219738
St Joseph's Catholic Primary (Bishop's Stortford) **,2019,117425,0.81,0.12,4.8,2.2,2.8,109,107,106,1,0.891957154,-0.096858157,0.444189384,1.127197938,0.080899997,0.31327636,2.017095786,1.057764434,1.279560933,1.883333333,2.166666667,0.773189888,0.891957154,-0.096858157,2.017095786,1.057764434,1.279560933,1.127197938,0.080899997,0.31327636,3.063589533,-0.896922867,1.058689118,-0.28549923,-2.278169878,2.278169878,1.039842836,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2019,117425,0.58,0.1,-3.3,-4.4,-3.9,103,103,101,1,-0.624397,-0.320306607,-0.527767379,-0.923588627,-1.281846506,-1.47452156,-1.610376302,-1.937438721,-1.578417677,1.883333333,2.166666667,0.773189888,-0.624397,-0.320306607,-1.610376302,-1.937438721,-1.578417677,-0.923588627,-1.281846506,-1.47452156,2.054497812,0.112168855,0.658058339,0.115131549,3.328823409,-3.328823409,-1.324240454,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2019,117425,0.87,0.36,3.1,2.8,2.5,110,111,109,1,1.287527803,2.584523253,2.163157015,1.468995698,1.4436465,1.385955112,1.255774484,1.33005563,1.151591742,1.883333333,2.166666667,0.773189888,1.287527803,2.584523253,1.255774484,1.33005563,1.151591742,1.468995698,1.4436465,1.385955112,3.401752998,-1.235086331,1.192947173,-0.419757285,-4.157166838,4.157166838,0.293227083,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2018,117425,0.98,0.24,4.4,4.1,3.2,110,111,109,1,2.01274066,1.243832548,1.819314641,1.468995698,1.4436465,1.385955112,1.837961362,1.920019888,1.450186522,2.244444444,3,1.098612289,2.01274066,1.243832548,1.837961362,1.920019888,1.450186522,1.468995698,1.4436465,1.385955112,3.451373868,-0.451373868,1.212647709,-0.11403542,-4.432883979,4.432883979,0.893544873,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2018,117425,0.68,0.08,0.9,-0.9,0.5,107,108,106,1,0.034887415,-0.543755058,-0.2842836,0.443602416,0.421586623,0.31327636,0.270535151,-0.349073411,0.298463798,2.244444444,3,1.098612289,0.034887415,-0.543755058,0.270535151,-0.349073411,0.298463798,0.443602416,0.421586623,0.31327636,2.725768752,0.274231248,0.924567115,0.174045173,-0.401077033,0.401077033,-0.440199012,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2018,117425,0.52,0,-2.6,-3.4,-0.8,104,107,104,1,-1.019967649,-1.437548861,-1.372914252,-0.581790866,0.080899997,-0.401842808,-1.29689106,-1.483620061,-0.256069365,2.244444444,3,1.098612289,-1.019967649,-1.437548861,-1.29689106,-1.483620061,-0.256069365,-0.581790866,0.080899997,-0.401842808,2.275130577,0.724869423,0.745654218,0.35295807,2.102882887,-2.102882887,-1.068556691,51.867714,0.149256,548075,220976
St Joseph's Catholic Primary (Bishop's Stortford) **,2020,117425,0.84,0.22,4.8,1.9,1.3,111,115,108,1,1.089742479,1.020384097,1.178841663,1.810793459,2.806393004,1.028395528,2.017095786,0.921618836,0.639714976,1.966666667,2.083333333,0.733969175,1.089742479,1.020384097,2.017095786,0.921618836,0.639714976,1.810793459,2.806393004,1.028395528,3.384190416,-1.300857083,1.185974456,-0.452005281,-4.059580785,4.059580785,-0.395481263,51.867714,0.149256,548075,220976
St Michael's C of E VA Primary (Bishop's Stortford) **,2019,117426,0.7,0.07,1.8,-4.6,0.2,109,112,107,1,0.166744298,-0.655479283,-0.273036305,1.127197938,1.784333126,0.670835944,0.673587606,-2.028202453,0.170494607,3.533333333,2.9,1.064710737,0.166744298,-0.655479283,0.673587606,-2.028202453,0.170494607,1.127197938,1.784333126,0.670835944,2.840601747,0.059398253,0.970158246,0.094552491,-1.03914374,1.03914374,-2.389450462,51.869508,0.157868,548662,221193
St Michael's C of E VA Primary (Bishop's Stortford) **,2018,117426,0.71,0.29,3.7,-0.4,0.8,111,111,108,1,0.232672739,1.802453675,1.136942131,1.810793459,1.4436465,1.028395528,1.52447612,-0.122164081,0.42643299,3.366666667,3,1.098612289,0.232672739,1.802453675,1.52447612,-0.122164081,0.42643299,1.810793459,1.4436465,1.028395528,3.189850709,-0.189850709,1.108817478,-0.010205189,-2.97973699,2.97973699,-0.930719557,51.869508,0.157868,548662,221193
